"Report data for year","Country","Bias Motivation","Type of Crime","Recorded by Police"
"2012","United States of America","Hate crime against Christians and members of other religions","Homicide","6"
"2012","United States of America","Unspecified","","12"
"2012","United States of America","Disability hate crime","Unspecified","31"
"2012","United States of America","Disability hate crime","Threats/ threatening behaviour","8"
"2012","United States of America","Disability hate crime","Vandalism","11"
"2012","United States of America","Disability hate crime","Physical assault","52"
"2012","United States of America","Anti-LGBTI hate crime","Unspecified","132"
"2012","United States of America","Anti-LGBTI hate crime","Threats/ threatening behaviour","262"
"2012","United States of America","Anti-LGBTI hate crime","Vandalism","249"
"2012","United States of America","Anti-LGBTI hate crime","Physical assault","674"
"2012","United States of America","Anti-LGBTI hate crime","Homicide","1"
"2012","United States of America","Hate crime against Christians and members of other religions","Unspecified","86"
"2012","United States of America","Hate crime against Christians and members of other religions","Threats/ threatening behaviour","28"
"2012","United States of America","Hate crime against Christians and members of other religions","Vandalism","167"
"2012","United States of America","Hate crime against Christians and members of other religions","Physical assault","34"
"2012","United States of America","Racist and xenophobic hate crime","Homicide","1"
"2012","United States of America","Anti-Muslim hate crime","Unspecified","10"
"2012","United States of America","Anti-Muslim hate crime","Threats/ threatening behaviour","43"
"2012","United States of America","Anti-Muslim hate crime","Vandalism","39"
"2012","United States of America","Anti-Muslim hate crime","Physical assault","55"
"2012","United States of America","Anti-Muslim hate crime","Homicide","2"
"2012","United States of America","Anti-Semitic hate crime","Unspecified","40"
"2012","United States of America","Anti-Semitic hate crime","Threats/ threatening behaviour","87"
"2012","United States of America","Anti-Semitic hate crime","Vandalism","486"
"2012","United States of America","Anti-Semitic hate crime","Physical assault","83"
"2012","United States of America","Racist and xenophobic hate crime","Unspecified","574"
"2012","United States of America","Racist and xenophobic hate crime","Threats/ threatening behaviour","1059"
"2012","United States of America","Racist and xenophobic hate crime","Vandalism","952"
"2012","United States of America","Racist and xenophobic hate crime","Physical assault","1535"
