Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2010,United States of America,Hate crime against Christians and members of other religions,Physical assault,28
2010,United States of America,Unspecified,,9
2010,United States of America,Anti-LGBTI hate crime,Unspecified,121
2010,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,331
2010,United States of America,Anti-LGBTI hate crime,Vandalism,273
2010,United States of America,Anti-LGBTI hate crime,Physical assault,743
2010,United States of America,Anti-LGBTI hate crime,Homicide,2
2010,United States of America,Disability hate crime,Unspecified,14
2010,United States of America,Disability hate crime,Threats/ threatening behaviour,5
2010,United States of America,Disability hate crime,Vandalism,1
2010,United States of America,Disability hate crime,Physical assault,26
2010,United States of America,Hate crime against Christians and members of other religions,Unspecified,69
2010,United States of America,Hate crime against Christians and members of other religions,Threats/ threatening behaviour,51
2010,United States of America,Hate crime against Christians and members of other religions,Vandalism,150
2010,United States of America,Racist and xenophobic hate crime,Homicide,2
2010,United States of America,Hate crime against Christians and members of other religions,Homicide,3
2010,United States of America,Anti-Muslim hate crime,Unspecified,7
2010,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,69
2010,United States of America,Anti-Muslim hate crime,Vandalism,47
2010,United States of America,Anti-Muslim hate crime,Physical assault,63
2010,United States of America,Anti-Semitic hate crime,Unspecified,25
2010,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,201
2010,United States of America,Anti-Semitic hate crime,Vandalism,619
2010,United States of America,Anti-Semitic hate crime,Physical assault,77
2010,United States of America,Racist and xenophobic hate crime,Unspecified,329
2010,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,1574
2010,United States of America,Racist and xenophobic hate crime,Vandalism,1228
2010,United States of America,Racist and xenophobic hate crime,Physical assault,1632
