Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2018,United States of America,Gender-based hate crime,Unspecified,7
2018,United States of America,Other hate crime based on religion or belief,Homicide,1
2018,United States of America,Other hate crime based on religion or belief,Physical assault,40
2018,United States of America,Other hate crime based on religion or belief,Theft/ robbery,45
2018,United States of America,Other hate crime based on religion or belief,Damage to property,83
2018,United States of America,Other hate crime based on religion or belief,Arson,4
2018,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,39
2018,United States of America,Other hate crime based on religion or belief,Unspecified,28
2018,United States of America,Gender-based hate crime,Homicide,1
2018,United States of America,Gender-based hate crime,Physical assault,20
2018,United States of America,Gender-based hate crime,Theft/ robbery,5
2018,United States of America,Gender-based hate crime,Damage to property,5
2018,United States of America,Gender-based hate crime,Threats/ threatening behaviour,20
2018,United States of America,Anti-Christian hate crime,Unspecified,27
2018,United States of America,Anti-LGBTI hate crime,Homicide,3
2018,United States of America,Anti-LGBTI hate crime,Physical assault,813
2018,United States of America,Anti-LGBTI hate crime,Theft/ robbery,121
2018,United States of America,Anti-LGBTI hate crime,Damage to property,236
2018,United States of America,Anti-LGBTI hate crime,Arson,3
2018,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,396
2018,United States of America,Anti-LGBTI hate crime,Unspecified,16
2018,United States of America,Disability hate crime,Physical assault,75
2018,United States of America,Disability hate crime,Theft/ robbery,41
2018,United States of America,Disability hate crime,Damage to property,12
2018,United States of America,Disability hate crime,Threats/ threatening behaviour,19
2018,United States of America,Disability hate crime,Unspecified,30
2018,United States of America,Anti-Semitic hate crime,Unspecified,10
2018,United States of America,Racist and xenophobic hate crime,Physical assault,1789
2018,United States of America,Racist and xenophobic hate crime,Theft/ robbery,365
2018,United States of America,Racist and xenophobic hate crime,Damage to property,854
2018,United States of America,Racist and xenophobic hate crime,Arson,16
2018,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,1627
2018,United States of America,Racist and xenophobic hate crime,Unspecified,295
2018,United States of America,Anti-Semitic hate crime,Homicide,11
2018,United States of America,Anti-Semitic hate crime,Physical assault,89
2018,United States of America,Anti-Semitic hate crime,Theft/ robbery,11
2018,United States of America,Anti-Semitic hate crime,Damage to property,522
2018,United States of America,Anti-Semitic hate crime,Arson,10
2018,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,243
2018,United States of America,Racist and xenophobic hate crime,Homicide,8
2018,United States of America,Anti-Muslim hate crime,Physical assault,67
2018,United States of America,Anti-Muslim hate crime,Theft/ robbery,9
2018,United States of America,Anti-Muslim hate crime,Damage to property,44
2018,United States of America,Anti-Muslim hate crime,Arson,2
2018,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,102
2018,United States of America,Anti-Muslim hate crime,Unspecified,1
2018,United States of America,Anti-Christian hate crime,Physical assault,28
2018,United States of America,Anti-Christian hate crime,Theft/ robbery,30
2018,United States of America,Anti-Christian hate crime,Damage to property,74
2018,United States of America,Anti-Christian hate crime,Arson,8
2018,United States of America,Anti-Christian hate crime,Threats/ threatening behaviour,22
