Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2022,United States of America,Anti-LGBTI hate crime,Homicide,12
2022,United States of America,Other hate crime based on religion or belief,Theft/ robbery,93
2022,United States of America,Other hate crime based on religion or belief,Damage to property,110
2022,United States of America,Other hate crime based on religion or belief,Arson,1
2022,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,40
2022,United States of America,Other hate crime based on religion or belief,Unspecified,34
2022,United States of America,Gender-based hate crime,Homicide,1
2022,United States of America,Gender-based hate crime,Physical assault,46
2022,United States of America,Gender-based hate crime,Sexual assault,1
2022,United States of America,Gender-based hate crime,Theft/ robbery,10
2022,United States of America,Gender-based hate crime,Damage to property,15
2022,United States of America,Gender-based hate crime,Arson,1
2022,United States of America,Gender-based hate crime,Threats/ threatening behaviour,41
2022,United States of America,Gender-based hate crime,Unspecified,6
2022,United States of America,Other hate crime based on religion or belief,Sexual assault,1
2022,United States of America,Anti-LGBTI hate crime,Physical assault,1166
2022,United States of America,Anti-LGBTI hate crime,Sexual assault,7
2022,United States of America,Anti-LGBTI hate crime,Theft/ robbery,221
2022,United States of America,Anti-LGBTI hate crime,Damage to property,487
2022,United States of America,Anti-LGBTI hate crime,Arson,8
2022,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,746
2022,United States of America,Anti-LGBTI hate crime,Unspecified,60
2022,United States of America,Disability hate crime,Sexual assault,86
2022,United States of America,Disability hate crime,Theft/ robbery,32
2022,United States of America,Disability hate crime,Damage to property,32
2022,United States of America,Disability hate crime,Arson,1
2022,United States of America,Disability hate crime,Threats/ threatening behaviour,30
2022,United States of America,Disability hate crime,Unspecified,10
2022,United States of America,Anti-Muslim hate crime,Homicide,4
2022,United States of America,Racist and xenophobic hate crime,Physical assault,2943
2022,United States of America,Racist and xenophobic hate crime,Sexual assault,10
2022,United States of America,Racist and xenophobic hate crime,Theft/ robbery,489
2022,United States of America,Racist and xenophobic hate crime,Damage to property,1497
2022,United States of America,Racist and xenophobic hate crime,Arson,16
2022,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,2514
2022,United States of America,Racist and xenophobic hate crime,Unspecified,192
2022,United States of America,Anti-Semitic hate crime,Physical assault,139
2022,United States of America,Anti-Semitic hate crime,Theft/ robbery,20
2022,United States of America,Anti-Semitic hate crime,Damage to property,704
2022,United States of America,Anti-Semitic hate crime,Arson,2
2022,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,322
2022,United States of America,Anti-Semitic hate crime,Unspecified,7
2022,United States of America,Racist and xenophobic hate crime,Homicide,16
2022,United States of America,Anti-Muslim hate crime,Physical assault,60
2022,United States of America,Anti-Muslim hate crime,Theft/ robbery,9
2022,United States of America,Anti-Muslim hate crime,Damage to property,27
2022,United States of America,Anti-Muslim hate crime,Arson,2
2022,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,76
2022,United States of America,Anti-Muslim hate crime,Unspecified,1
2022,United States of America,Anti-Christian hate crime,Physical assault,45
2022,United States of America,Anti-Christian hate crime,Theft/ robbery,67
2022,United States of America,Anti-Christian hate crime,Damage to property,211
2022,United States of America,Anti-Christian hate crime,Arson,15
2022,United States of America,Anti-Christian hate crime,Threats/ threatening behaviour,55
2022,United States of America,Anti-Christian hate crime,Unspecified,27
2022,United States of America,Other hate crime based on religion or belief,Physical assault,79
